File,PV_list_lemmtaized,Difficulty,Duration,k1_percent,k2_percent,k3_percent,k1_2_percent,k1_3_percent,k1_4_percent,k1_5_percent,k1_6_percent,Accent,Genre,URL
AL106,"talk about, conjugate in, behave in, look like, tack onto, tack onto, listen to, think between, focus on, work for, talk about, talk about, talk about, say in, go through",17,2.21,82,8,1,90,92,92,92,92,American,AL,https://www.youtube.com/watch?v=pLg0bYYBgvE
AL107,"talk about, form like, look like, go from, turn out, apply to",11,1.34,75,12,2,87,90,93,93,93,American,AL,https://www.youtube.com/watch?v=mi8Ft5_Eikw
AL108,"talk about, shift in, bear with, do with, talk about, talk about, begin with, bounce along, go from, ring for, talk about, go on, go from, go from",14,2.4,79,9,3,87,90,90,90,90,American,AL,https://www.youtube.com/watch?v=oIhmbcFE4r8
AL109,"talk about, talk about, take for, talk about, fall into, go with, eat by, speak in, speak in, look like",16,2.29,79,9,2,88,91,91,91,92,American,AL,https://www.youtube.com/watch?v=Nu9-AWAzbsM
AL110,"welcome to, fall into, end with, end with, find in, follow up, become past, stand on, stand on, listen to, show up, believe in",17,2.11,76,10,3,85,88,89,89,89,American,AL,https://www.youtube.com/watch?v=rm3FcEt0Ah8
AL111,"talk about, distinguish between, get to, worry about",10,1.17,86,6,4,93,96,96,96,97,American,AL,https://www.youtube.com/watch?v=Rt9ZvXwueas
AL112,"welcome to, start by, investigate with, release into, lead to, go to, base on, increase in, result in, publish by, argue about, share with, come from, see around, base on, go to, convert into, differ from, release into, regard from, make by, result in, look at, transport to, live in, contribute to, look at, use for, leave over, valorise into, compete with, accord to, derive from, range from, produce on",20,5.59,51,20,16,71,87,91,91,92,American,AL,https://www.youtube.com/watch?v=E1J_sm5UYUM
AL113,"describe in, stand for, fit in, know about, improve over, define as, associate with, find in, appear on, produce by, apply as, happen in, grow on, grow on, allow for, serve as, apply in, come out, lead to, come from, use by",18,4.22,54,16,12,71,82,86,86,87,American,AL,https://www.youtube.com/watch?v=nD65UCM4qac
AL114,"welcome to, return to, provide for, look at, compete with, leave over, consist of, provide for, divide into, use for, refer to, use for, differ in, capture in, influence by, associate with, reflect in, base on, produce per, extract per, differ between, gain from, base on, fossilbase to, have on, compete with, take into, associate with, take into, think along, allow for, grow on, utilize by, compose of, use on, make by, digest by, use in, consist of, metabolize by, focus on",18,7.76,49,22,14,71,85,89,89,90,American,AL,https://www.youtube.com/watch?v=ZL5ZhEX2rgM
AL115,"run throughout, serve as, abbreviate to, make from, come to, produce by, use as, denote as, stand for, relate to, stand for, use as, make from, start from, help with, result in, look into, start with, deal with, carry out, come down, deal with, replace by, sum up, accord to, carry out, look at, require for, compare to, direct by, show in, look at",19,5.39,49,22,10,71,82,85,85,87,American,AL,https://www.youtube.com/watch?v=gQgST1y9oYc
AL116,"hang in, separate from, reach by, look at, look at, formulate in, lead by, make by, look for, related to, lead to, look at, depend on, refer to, earn back, add up, relate to, set up, separate from, associate with, spend over, result from, calculate by, work on",21,5.69,51,23,16,74,91,94,94,94,American,AL,https://www.youtube.com/watch?v=mRUJmFJiFkg
AL117,"welcome to, find in, look at, sit in, occur in, come in, divide over, induce by, result in, deprive of, preserve in, select from, use in, select for, attach to, lead to, come from, isolate from, go to, take from",21,5.39,50,20,15,70,84,86,86,88,American,AL,https://www.youtube.com/watch?v=yIXDum8a75Q
AL118,"welcome back, explain to, grow by, go to, suggest from, explain to, end up, consist of, need for, need for, need as, need for, need in, act as, synthesize by, supply from, serve as, base on, leave with, make up, represent in, look like, go into, write down, write out, calculate from, make from, generate in, convert to, secrete outside, indicate in, note of, serve as, serve as, base on, act as",18,7.16,52,13,14,64,78,82,82,84,American,AL,https://www.youtube.com/watch?v=zi9QXjJih48
AL119,"work at, come in, ask for, measure by, look at, earn at, relate to, consume per, produce per, look like, grow on, make by, operate in, return to, state of, explain to, measure by, enter of, pile up, increase in, represent by, have at, come to, come to, set up, define by, set up, do for, go into, break down, go into, act on, act on, set up, come from",20,8.37,59,16,10,75,84,88,88,89,American,AL,https://www.youtube.com/watch?v=AgzqjxTeyCk
AL120,"find in, calculate from, set up, look for, take for, dissolve into, take up, go from, consist of, dissolve in, convert by, measure as, calculate from, come from, show below, operate in, put to, see from, see from, set up, measure by, depend on, depend on, indicate in, find out, go out, stick out, work on, come out, calculate from, sum up, set up, violate for, lead to, result in",21,6.62,55,16,13,71,84,87,87,87,American,AL,https://www.youtube.com/watch?v=5sBALeb1qes
AL121,"welcome back, realize by, reflect by, know as, look at, produce per, flow in, lead to, look at, go up, add in, change in, base on, see from, set up, look at, feed for, set up, go in, go out, multiply with, see from, go to, divide by, point out, expect with, go to, divide out, come to, belong to, grow at, happen to, obtain from, qrate in, obtain by, set up, obtain from, manipulate in, base on, set up",17,7.21,58,17,11,74,86,87,87,88,American,AL,https://www.youtube.com/watch?v=7UqWIuIjbQ8
AL122,"add at, control by, happen to, look at, want to, think about, think about, increase in, go down, think in, go down, set up, balance for, lead to, multiply by, suggest by, set up, think about, do by, Nx for, come from, accord to, set up, combine in, eliminate from, fill in, calculate qs, look at",18,5.74,58,17,10,74,84,88,88,88,American,AL,https://www.youtube.com/watch?v=IiYDqPFx-4w
AL123,"see from, go over, think about, look at, calculate from, set up, set up, start with, look like, draw on, set up, indicate in, set up, relate to, set up, solve than, look at, show on, consist of, go on, apply for, apply for, think about, apply to, have per, go out, put in, depend on, relate to, accord to, find in, transfer from, happen with, look at, transfer from, write down, write down, write down, multiply with, think about, happen with, degrade in, hope by, find out, look at, think about, find back, put in, look at, write down, work in, transfer from, fill in, look at, look at, transfer from, operate in, think about, depend on, ask for, write down, look at, lead to, work with, add up, look at, look at, transfer to, conserve by, come in",23,12.92,55,18,13,73,86,88,88,88,American,AL,https://www.youtube.com/watch?v=Juu_B73PkjI
AL124,"provide under, talk about, begin by, focus on, happen on, seem like, explain to, say in, go on, figure out, look in, look at, look at, look at, think to, look at, come out, look at, look at, go off, do with, protect by, protect from, talk about",16,5.53,71,15,6,85,91,93,93,93,American,AL,https://www.youtube.com/watch?v=tNVnKJ9T9Eg
AL125,"give to, do at, talk about, show to, talk about, supply from, consume per, look at, come to, come to, start with, end with, divide by, come to, build in, come to, come to, come to, define by, divide by, multiply by, come in, come out, multiply by, come from, multiply by, come to, come to",17,3.86,62,16,10,78,88,89,89,91,American,AL,https://www.youtube.com/watch?v=Uj4wO6HbuB0
AL126,"base on, do on, look at, come from, come from, come to, divide by, multiply by, calculate as, find for, find at, divide by, calculate for, multiply by, multiply by, have for, multiply by, multiply by, fill in, multiply by",19,4.64,60,18,7,77,84,88,88,89,American,AL,https://www.youtube.com/watch?v=KAgCGeX48TQ
AL127,"calculate as, think about, determine in, think about, produce in, multiply by, multiply by, multiply by, analyze at, do in, give of",20,3.67,61,19,8,80,88,89,89,90,American,AL,https://www.youtube.com/watch?v=7iBhqSz0NsA
AL128,"forget about, lead to, explain to, come from, come from, mean at, set up, multiply by, have of, multiply by, calculate from, go in, multiply by, multiply by, come out, come to, calculate from, come in, bring to",18,4.89,64,17,8,81,89,92,92,93,American,AL,https://www.youtube.com/watch?v=JjJwMH6hm5Y
AL129,"focus on, look like, write down, write down, write in, involve in, start with, go into, come out, write down, add up, lead to, succeed in, show in, indicate by, do by, produce per, consume per, depend on, reduce to, discuss in",21,5.59,56,16,11,71,82,84,84,85,American,AL,https://www.youtube.com/watch?v=ppVZb0jvJzY
AL130,"depend on, depend on, define by, lead to, lead to, enter from, bind to, disengage at, attach to, load with, depend on, depend on, depend on, occupy in, base on, define as, change with, depend on, apply for, fluxcouple due, see as, go out, depend on, depend on, learn about, set up, look at, worry about, go within",19,0.72,53,18,11,71,82,85,85,86,American,AL,https://www.youtube.com/watch?v=dSH_HsKS4KA
AL131,"couple to, oxidize with, set up, take up, discuss in, work with, pump out, take up, use for, produce per, engage in, occur in, take up, distribute over, occur with, lead to, lead to, maintenance with, show in, multiply by, couple to, work under, go into, show in, come to, qs over, look at, depend on, use for, compose of, indicate in, multiply by, multiply by, come to, go into, use with, lead to, express by, reflect in, use for, propose to, focus on",18,7.85,51,20,12,70,82,86,86,88,American,AL,https://www.youtube.com/watch?v=hONMFdvxRw4
AL132,"lead to, focus on, indicate in, obtain from, look at, enter into, do in, have in, fill in, fill in, solve for, do at, propagate in, indicate in, lead to, need at",17,6.16,57,15,13,73,86,89,89,90,American,AL,https://www.youtube.com/watch?v=C5zuE5eLwDE
AL133,"qvalue from, produce from, indicate by, accord to, follow from, calculate from, ai in, find by, set up, multiply with, multiply by, multiply by, lead to, run at, run at, run at, indicate on, occur at, accord to, consume for, lead to, use for, reflect on, consume for, see in, use for, use for, obtain by, consist of, calculate from, calculate from",23,7.33,48,14,12,62,73,76,76,76,American,AL,https://www.youtube.com/watch?v=gF9Y1NhvQ1c
AL134,"lead to, need for, consist of, characterize by, apply at, lead to, follow from, lead to, qvalue at, find from, supply as, compare to, consist of, sparge as, set up, speak for, coefficient for, reflect on, carry out, go to, lead to, think about, compare to, indicate with, lead to, remove by, look at, cool before, produce per, show in, remove by, follow from, indicate in, calculate from, lead to, discuss in",19,7.9,47,19,13,66,78,80,80,81,American,AL,https://www.youtube.com/watch?v=CuEuK17NJ5I
AL135,"aim at, aim for, add in, achieve by, coefficient in, add in, go for, do by, change by, double from, decrease from, favour over, show in, coefficient in, accord to, focusse on, achieve by, aim at, lead to, produce from, aim for, accord to, increase for, put by, go to, obtain from, aim at, work at, point out, relate to, lead to, use in, use under, break down, do in, focus on, flow with, carry on, lead to, point out",19,7.45,45,19,15,64,79,82,82,83,American,AL,https://www.youtube.com/watch?v=wlhvH95tfU8
AL136,"welcome to, look into, look into, look into, route in, express with, express in, represent as, take up, lump into, convert to, focus on, look into, leave over, look into, lead to, knock out, reflect on, take in, perform by, look into, translate into, show on, rely on, v2 in, choose for, need for, represent by, separate from, perform by, multiply by, multiply by, place on, work for, assume for, solve by, lead to, do by, consist of, do at, dive into, obtain from, provide from",21,8.64,47,18,14,66,79,80,80,82,American,AL,https://www.youtube.com/watch?v=UZD5ar8ts3I
AL137,"divide into, divide in, divide into, divide into, divide into, divide in, divide into, divide into, divide into, divide into, divide into, divide into",10,1.92,91,7,0,98,98,98,98,98,American,AL,https://www.youtube.com/watch?v=ntqySoFvNiw
AL138,"think about, come up, think about, go through, go in, deal with, deal with, look like, look like, think about, come in, come in, deal with, deal with, look like, look like, look like, direct of, look like, seem like, know about, go in, mean by",14,4.62,82,8,2,90,92,93,93,93,American,AL,https://www.youtube.com/watch?v=eWaZ0g0QI1g
AL139,"do for, think about, look at, think about, look at, think about, think about, cousin out, read in, base on, calm down, look at, look at, look at, look like, look like, look like",10,3.38,88,5,1,94,95,96,96,96,American,AL,https://www.youtube.com/watch?v=gJL8-2O8N4A
AL140,"go to, line up, look like, meet on, look like, look like",8,1.6,86,6,1,91,92,94,94,94,American,AL,https://www.youtube.com/watch?v=WUAzxx33NKU
AL141,"divide into, divide into, divide into, divide into, divide into, divide into, look like, look like, divide into, click on, divide into, divide into, divide into, divide into, divide into, divide into, divide to, divide into, divide into, divide into, divide into, divide into, divide into, divide into, divide into, divide into, divide into, look like, divide into, divide into, divide into, divide into",11,2.5,85,9,0,94,94,97,97,97,American,AL,https://www.youtube.com/watch?v=4eM6tbdVLto
AL142,"fit into, sit on, look at, go on",8,1.17,99,0,0,99,99,99,99,99,American,AL,https://www.youtube.com/watch?v=qm-2pJIVs1g
AL143,"go from, line up, look like, line up, figure out, cut out, cut off, cut off, cut off, cut off, cut off, cut off, figure out, figure out, cut off, start with, cut off, leave with, start with, end up, end up",18,4.44,87,9,0,96,96,96,96,96,American,AL,https://www.youtube.com/watch?v=OXjMoTk__DM
AL144,"think about, look at, go to, go to, look at, think of, have in, look at, look at, base on, look at, look at, look at",12,3.27,85,5,2,90,92,93,93,93,American,AL,https://www.youtube.com/watch?v=ftjz2o1EevY
AL145,dd,15,2.41,72,11,2,83,85,92,92,93,American,AL,https://www.youtube.com/watch?v=pM7kDq0He34
AL146,"have than, look at, have than, have than, look at, start at, start at, get to, go from, have than",14,1.4,91,5,0,96,96,97,97,97,American,AL,https://www.youtube.com/watch?v=Hs_vg_F0mBw
AL147,"look at, look at, think of, go in, get to, think about, start at, count by, get to, count from, get to, start at",10,2.24,96,2,0,98,98,98,98,98,American,AL,https://www.youtube.com/watch?v=-1SVs_MYDWE
AL148,"do in, respond to, go into, break down, think about, go to, care about, think about, involve in, live off, compose of, construct in, make up, construct in, coalesce in, come from, get around, go into, expose to, come from, come from, come from, hear about, talk about, build up, build out, talk about, go to, assist by, build up, build up, break down, talk about, make up, talk about, talk about, make up, make up, break down, interact with, guess on, break off, look like, break up, make up, break down, look around, look at, look at, come from",15,9.1,67,11,9,78,87,90,90,90,American,AL,https://www.youtube.com/watch?v=i-sYu5K2IFo
AL149,"refer to, do in, seem like, look at, break down, connect to, break off, turn into, bond to, depict with, go into, go from, think about, jump out, fall through, fall down, fall down, sit on, go to, break down, think about, go on, come out, go into, think about, start with, end up, pop off, turn into, know as, pluck off, pluck off, pop off, bond to, go into, use in, go from, get to",19,5.3,75,8,6,83,89,92,92,92,American,AL,https://www.youtube.com/watch?v=0VM7sLi9ALY
AL150,"happen without, turn into, go on, bounce into, come up, think about, look like, move around, turn to, happen in, collide in, get to, look at, come along, think of, go from, enter into, go from, go from, go to, get to, hit in, go to, go through, start off, figure out, do with, get to, get to, collide with, write as, go from, hear of, operate in, consume in, bump into, get to, interact with, slow down, bump into, get over, bump into, bumping into, talk about, bump into, bump into, get over, bump into, get into, go to, think about, talk about, interact with, go into, go up, think about, think about, think about, lead to, think of, think of, interact with, interact with, think about, think about, think about",18,12.27,65,14,8,79,87,91,91,92,American,AL,https://www.youtube.com/watch?v=KyiTGvnIPbo
AL151,"look at, involve in, hear about, grow with, work on, sit in, start down, figure out, give away, seem like, come to, give away, get into, start with, come by, do in, pronounce as, connect to, go through, come across, call in, work on, engage with, think for",13,4.13,74,14,5,88,93,94,94,94,American,AL,https://www.youtube.com/watch?v=_QrLcrLAg50
AL152,"work on, focus on, deal with, care about, come down, think about, happen in, seem like, leave like, knock down, feel like, involve in, go to, cost to, pronounce in, think about, do with, learn by, learn by, learn in, learn by, come in, learn by, learn in, interact with, associate with, look like, get to, work with, come along, end up, set up, hinge around, involve with, involve as, work as, work with, sit down, affiliate with, come out, focus on, talk about, have in, get into, have between, look at, come down, look across, participate in, think at, pull on, happen on, develop with, lead into, go on, apply to, apply to, happen in, arrive at, start within, know about, go in, apply in, come out, start with, set up, go on, know thatsopen, go on, focus on",23,8.93,65,11,11,76,87,90,90,90,American,AL,https://www.youtube.com/watch?v=ozpeEjCMKmw
AL153,"think of, work with, publish under, come along, do like, advocate for, come along, give away, leave of, education beyond, go around, go on, publish in, look at, build up, lie down, read through, license to, involve in, come from, come into, move through, go with, end up, think in, move from, strike by, use for, find out, think of, think of, start with, go to, listen to, come across, involve in, interact with, play in, learn for, come by, come by, go through, come by, talk about, go on, connect to, sit with, sit with, feed off, refer to, end up, end up, look at, keep for, look at, take for, function with, involve with, send to, involve in, look at, throw off, end up, turn to, shape by, preface on, engage with",22,10.62,61,16,10,77,87,89,89,90,American,AL,https://www.youtube.com/watch?v=IyrKQZbdAUs
AL154,"talk about, involve in, transpire in, talk about, intend to, vary in, walk out, cut down, belong to, think about, think about, think about, create with, look like, cite as, move in, die in, affix to, move into, attach in, expire on, eldre versus, go to, use by, know within, think about, participate in, translate into, localize for, collaborate around, engage in, deal like, grow in, move from, opt out, sit in, copyright from, fix in, move to, share with, go out, express to, use in, use from, get into, happen in, fix in, teach in, teach in, set up, talk about, run up, do as, do with, engage in",21,7.02,62,16,10,78,88,92,92,92,American,AL,https://www.youtube.com/watch?v=JSIpmVS44Ek
AL155,"teach as, go through, happen in, cut off, involve in, make with, seem like, involve in, come up, uta at, pay for, pay for, come in, write up, pay as, pay for, pay for, think about, pay for, pay for, buy back, come into, talk about, get around, influence for, publish in, share in, work with, count as, accept in, turn in, seem to, think about, think about, change as, retire out, come in, look at, think about, think about, explain to, do with, publish in, publish in, publish in, buy in, take in, act of, oppose to, tease out, look at, cite in, publish in, publish in, work with, publish in",19,8.8,61,15,14,76,90,92,92,93,American,AL,https://www.youtube.com/watch?v=D39pvoJGWLA
AL156,"set up, do in, get into, solicit in, set up, hear of, go to, engage in, talk about, engage in, engage in, listen to, look at, list on, look at, hint at, talk about, depend on, make with, paste into, hand out, play with, submit in, hide in, protect by, operate on, translate into, turn out, engage in, engage in, come to, hold to, speak around, use by, police of, do by, happen with, find out, seem like, look at, give out, take toward, comply with, go out, go on, go to, do via, share with, share with, tarnish by, talk abouthow, engage with, set up, go to, listen to, add to, go to, go on, have for, consume with, align for, consume with, come to, pay for, ask for, pay for, look at, agree with, go out, look at, look at, look in, volunteer with",19,11.59,61,17,12,79,90,94,94,94,American,AL,https://www.youtube.com/watch?v=wleIPnZ8xvI
AL157,"see as, think about, set of, engage in, mean in, get into, retain in, engage in, come at, do for, have with, happen with, pay for, top out, pay over, happen in, make for, suffer through, make to, arise with, participate in, come from, remove from, wipe from, look like, engage in, engage in, come around, do with, look at, depend on, create in, pass through, pay for, cut off, pile up, pile up, pile up, pay for, root in, belong to, distribute in, do with, tinker with, come from, study out, backspace over, write in, engage in, talk about",20,10.35,62,17,11,79,90,92,92,92,American,AL,https://www.youtube.com/watch?v=SaTi4rqsTyA
AL158,"push on, talk about, attach to, push up, do in, fit into, know from, work for, occur to, change from, involve on, go out, feel like, pass through, pay for, think in, talk about, pay for, expect from, talk to, come with, send out, go through, connect with, look at, work with, use in",22,6.26,67,15,9,82,91,94,94,94,American,AL,https://www.youtube.com/watch?v=xxSRh1Fg42U
AL159,"involve with, fit into, involve in, think about, do in, sit down, stare at, engage in, start over, collaborate across, think about, come from, start from, teach at, dress up, come along, benefit from, get at, exist within, reflect in, leave off, start by, search for, work for, work with, serve in, connect up, save about, look at, drop out, feel like, stay in, talk about, know from, base on, look at, come in, turn in, mention from, find at, think about, do with, play in, speak at, come from, come in, get up, engage in, collaborate among, requirement through, go from",18,8.62,67,15,10,82,92,93,93,94,American,AL,https://www.youtube.com/watch?v=-U5A-D95sl8
AL160,"accomplish with, end up, base on, enable in, talk about, play into, do on, know behind, talk about, end up, end up, focus on, learn in, create by, learn by, engage in, distribute in, focus on, exist in, come from, meet with, meet with, connect to, engage in, come with, go with, talk about, declare by, do with, talk as, do for, do for, move from, center around, come into, go to, interact with, duplicate with, grow to, fail among, learn in, walk into, go on, know by, have in, create in, launch through, work with, work in, learn for, come out, attach to, know with, refer to, happen in, do in",17,9.71,60,14,12,74,87,89,89,91,American,AL,https://www.youtube.com/watch?v=A05IEigrVqU
AL161,"think about, relate to, perplex at, know in, get with, need for, happen in, think for, know into, come across, grapple with, integrate into, teach at, talk about, go on, grapple with, learn from, teach with, require on, go on, switch from, do on, occur to, pull up, do with, expand out, wake up, depend on, get up, look at, use in, seem to, come up, progress down, engage with, base on, review in, comprise of, look like, pick up, come out, catalogue in, look for, find in, teach over, search for, drown in, look for, search by, adopt of, bring into, plug through, move in, add to, do with, think of, reuse in, think from, look at, grant by, have over, fit into",21,13.12,59,16,11,75,86,88,88,88,American,AL,https://youtu.be/5YHgmYpU5AY
AL162,"get into, involve in, do around, go through, think about, feel about, compare to, take off, pay for, result in, download off, cut into, lie out, work in, talk about, publish in, turn to, think of, look at, look at, look at, look at, focus on, transit?kind of, create in, behave in, work on, look at, involve in, get from, get into, difference in, base on, swap out, engage in, go into, contribute to, talk about, do with, go on, experience through",16,6.69,67,12,11,79,90,91,91,92,American,AL,https://youtu.be/b3BP5lq-FnE
AL163,"welcome back, talk about, say in, lead up, interact with, throw off, engage in, think about, talk about, grow through, look at, apply in, look at, go on, take from, happen in, look at, interact with, do with, deal with, deal with, look at, involve in, log on, move to, talk about, deal with, rely on, log on, look at, say as, engage in, mature into, move into, get at, got to, represent in, get at, happen with, move behind, pick up, behave in, look at, base on, base on, align with, have through, talk about, create in, create in, define by, seem like, think in, acquiesce at, compete with, move into, look at, look at, provide to, win at, escalate to, get to, talk about, base on, study at, study on, use but?just, turn out, miss on, publish in, do with, align to, align to, align to, leave with, figure out, do with, look at, look at, look at, follow down, do in, stand up, align to, make in",18,10.4,59,16,13,75,88,91,91,92,American,AL,https://youtu.be/c6129G-gimQ
AL164,"look at, go over, sit down, seem like, consider to, hear about, be on, look at, call at, work with, reach out, figure out, design for, design for, design for, look at, log into, go on, look at, see past, lose on, win on, play with, stand up, know between, know on, think at, present to, reach out, explain to, Graph beneath, land on, engage with, implement in, describe in, go into, show up, create for, embed in, think about, face to, end up, end up, come from, think about, happen for, understand like, happen from, work from, turn out, engage in, engage in, turn out, look at, explain in",14,8.3,62,14,11,76,87,89,89,90,American,AL,https://youtu.be/ZnVMIoC_daU
AL165,"go from, test on, scroll through, think about, persuade by, comprise of, go from, gather to, symbolize by, start with, live in, serve to, live in, go to, allow for, look at, run for, work than, rise in, take about, involve in, promise to, come to, associate with, talk about, help out, provide with, follow by, catch on, work for, have for, conspire against, rise up, know for, experiment with, originate as, know in, come out, come in, have to, lead to, come with, drill for, turn into, live in, remember as, journey to, travel to",19,10.09,60,16,7,76,83,88,88,90,American,AL,https://youtu.be/My3-pS0ccC8
AL166,"end up, add up, talk about, talk about, talk about, talk about, talk about, turn to, see as, sound like, wake up, live at, get to, lead to, associate with, associate with, associate with, get to, say about, talk about, know about, go to, know about, come from, think of, connect to, run under, use for, use as, look like, go on, talk about, have for, dress up, go with, happen to, happen to, morph into, come from, fade into, turn out, bring about, dry up, pick up, leave for, move to, motivate by, think about, think about, motivate by",14,8.43,62,14,8,75,83,87,87,88,American,AL,https://youtu.be/XhIaEZTfVR8
AL167,"talk about, talk about, point out, pop up, have in, engage in, suffer for, live in, give up, accord to, yoyo between, find in, show up, shift from, seesaw throughout, start out, take on, engage in, scoodlypoope with, overtake by, survive to, ride on, ride on, happen in, lead to, come in, settle into, wait for, know as, turn out, become like, pass on, die in, spread over, shift to, come before, keep with, take over, rely on, serve in, come by, come on, come along, begin around, grow from, base on, base on, lop off, do in, apologize for, happen to, base on, blow up, come to, talk about, talk about, talk about, talk about, talk about",18,10.63,59,14,8,73,81,84,84,86,American,AL,https://youtu.be/GIVNEm1BpH8
AL168,"talk about, stare at, think of, think of, stand among, last from, talk about, mean for, go out, go to, leave behind, walk on, culminate in, bury with, see as, live along, last from, last from, seem like, act like, act like, act like, build between, build for, build for, work for, lead to, start with, start out, reign over, say about, fight over, follow by, merge with, relaxed like, disimilate into, sound like, emerge from, take over, focus on, remember from, jump off, replace by, rob by, rob by, find out, leave for, psyche about, die before, discover in, die of, work out, build around, die in, look at",22,10.34,59,14,8,72,80,84,84,85,American,AL,https://youtu.be/CEsxCiRlCxY
AL169,"learn about, start with, wait for, know about, come from, write about, hold on, found in, rule with, know as, live in, know about, come from, identify with, talk about, come from, have in, ask about, ask about, devoted to, gall to, begin by, see as, think about, exemplify by, think about, live in, consist of, limit to, range from, live in, rebel in, emerge as, make up, happen during, settle into, sound out, look to, hinder by, create in, buy into, rhyme with, stand for, come from, evidence by, go to, sail to, submit to, point out, fight with, see as, participate in, set off, win with, look at, engage in, end up, beat by, return to, worry about, seek from, talk about",16,10.41,58,13,10,71,81,84,84,85,American,AL,https://youtu.be/_dpVeV_N-Oo
AL170,"talk about, tend to, lead to, know about, come from, migrate down, know about, know as, know as, cut to, read from, become of, make into, speak to, come from, stand on, talk to, combine for, suffer from, happen in, transfer to, reborn as, release from, begin as, stay in, listen to, accord to, go to, snuck out, seek out, come to, meditate for, meditate for, come to, want of, dump by, talk about, talk about, talk about, free from, end up, refer to, involve in, talk about, rule through, end up, bring up, hold on, put up, rule through, accord to, go like, see in, lead to, decline in, describe as, happen with, worship as",19,10.8,59,13,9,72,81,84,84,85,American,AL,https://youtu.be/TKPm0fCvlGY
AL171,"talk about, talk about, last in, know as, divide into, rule by, come from, end for, run out, overthrow after, happen to, go over, leave aside, overthrow by, disintegrate into, war over, end with, replace by, last for, rule over, conquer by, result in, fall to, last for, come to, rid of, believe in, expect of, come in, come to, replace by, last for, base on, get to, exaggerate for, focus on, think for, set up, come to, accord to, accord to, behave as, shut up, go to, live during, lead to, bring about, look to, boil down, care for, factor into, look to, contain in, translate as, depend on, interact with, translate as, refer to, associate with, behave like, engage in, engage in, rest on, point out, lead to, write by, mirror by, talk about",20,11.04,57,15,11,73,83,86,86,88,American,AL,https://youtu.be/24Aq9-fvluk
AL172,"talk about, make of, design in, turn into, stitch in, screenprinte in, sell to, pause for, snivel in, put on, form by, live in, work in, go from, think of, sell to, mark up, produce in, spin from, come from, buy off, use for, originate in, focus on, wait for, humiliate in, migrate to, take off, equip by, travel to, go through, complain about, cause by, say of, grow along, state for, speak of, travel on, go into, dwindle in, know as, differ from, venerate to, transform from, focus on, hang around, live in, travel along, come from, know as, result in, die in, live in, live in, look at, foster by, talk about",14,8.84,56,15,9,71,79,84,84,85,American,AL,https://youtu.be/RzCoCHe9HcA
AL173,"learn about, raise by, stand for, focus on, accord to, determine with, choose from, divide into, choose from, serve as, do in, serve as, serve as, talk about, take over, come out, lay down, return to, name for, influence by, know from, bear around, do from, serve in, rise through, run for, get from, succeed in, work out, go to, die in, return to, prosecute for, return with, set out, track down, side with, scoddilypoope with, go on, bet on, attach to, stop off, extend for, bring about, degenerate into, choose from, choose from, rise to, open up, look at, march against, look at, dispense with, start out, comprise of, talk about, talk about, rise up, control by, incorporate into, rule by, march on",20,11.2,57,15,9,71,80,83,83,85,American,AL,https://youtu.be/W6I6jbzKFx8
AL174,"talk about, bear in, start with, grow up, think of, eke out, center around, record in, appear to, say unto, walk before, live in, chat with, involve in, stick with, accord to, stick by, lead to, speak for, absorb into, know for, know as, show up, wait for, bring in, return to, get through, get to, threaten to, execute in, turn to, fight over, fight over, matter to, come to, reject by, acquaint with, write down, get in, write of, write about, set forth, open up, stick with, kill by, relate to, keep to, convert to, remember about, hide from, talk about, talk about, flourish in, allow for, persecute by, fed to, convert to, take off",20,10.7,61,12,7,73,80,83,83,84,American,AL,https://youtu.be/wQTBu0TmhaI
AL175,"talk about, get to, fall until, conquer by, send into, know for, sack by, go with, go like, put forth, rule with, wrap up, lead to, begin with, buy into, care about, remember from, stick with, fight with, team with, happen with, wear by, blow up, bring to, know as, live in, descend into, lead to, center in, center in, go from, go to, rule by, forget about, turn out, cheer on, break out, rule by, go to, go along, rule for, build for, look like, go on, sound like, drive out, come from, matter for, serve as, answer to, appoint by, survive for, survive in, survive in, survive in",15,11.66,57,13,9,69,79,83,83,85,American,AL,https://youtu.be/h1-4TZdqpcU
AL176,"think about, look at, think about",8,1.52,85,11,1,96,97,98,98,98,American,AL,https://www.youtube.com/watch?v=8fBDGRl1v8E
AL177,"talk about, run through, go with, come between, forget about, depend on, die from, die from, come in, go to, live in, base on, dress up, happen in, flow into, dominate by, fit on, expand out, do in, hold on, hail from, take over, wait for, take on, descend into, press into, try over, point out, set up, usher in, center in, write in, do with, turn toward, stay in, exemplify by, build by, build in, live in, live in, end up, write in, rule over, fight at, hear of, end up, dominate to, dominate to, encourage by, last from, talk about, use in, ship throughout, go on, run out, lead to, write down, know as",21,10.41,56,13,8,69,77,80,80,81,American,AL,https://www.youtube.com/watch?v=M_zTup1NswY
